,DATETIMEDATA,PM25,O3,TEMP,RH,WD
0,2024-02-01 00:00:00,19.6,1.0,26,82,110
1,2024-02-01 01:00:00,19.2,12.0,26,85,108
2,2024-02-01 02:00:00,19.0,9.0,26,86,106
3,2024-02-01 03:00:00,17.8,1.0,25,88,111
4,2024-02-01 04:00:00,13.8,0.0,25,89,116
5,2024-02-01 05:00:00,19.7,0.0,25,89,114
6,2024-02-01 06:00:00,18.0,0.0,25,89,105
7,2024-02-01 07:00:00,23.9,2.0,26,85,105
8,2024-02-01 08:00:00,29.9,1.0,28,78,111
9,2024-02-01 09:00:00,23.5,2.0,29,70,121
10,2024-02-01 10:00:00,19.5,1.0,30,61,142
11,2024-02-01 11:00:00,17.8,1.0,31,57,171
12,2024-02-01 12:00:00,18.9,1.0,32,53,160
13,2024-02-01 13:00:00,17.5,9.0,32,52,171
14,2024-02-01 14:00:00,17.9,16.0,32,51,164
15,2024-02-01 15:00:00,16.7,5.0,31,52,167
16,2024-02-01 16:00:00,13.1,,31,54,166
17,2024-02-01 17:00:00,17.8,20.0,29,62,135
18,2024-02-01 18:00:00,13.0,18.0,28,68,126
19,2024-02-01 19:00:00,22.5,0.0,28,73,117
20,2024-02-01 20:00:00,21.9,1.0,27,75,113
21,2024-02-01 21:00:00,22.3,10.0,27,77,111
22,2024-02-01 22:00:00,20.7,1.0,27,80,113
23,2024-02-01 23:00:00,25.6,0.0,26,83,109
24,2024-02-02 00:00:00,30.9,0.0,26,84,109
25,2024-02-02 01:00:00,25.9,1.0,26,86,108
26,2024-02-02 02:00:00,27.4,4.0,25,86,107
27,2024-02-02 03:00:00,18.4,0.0,25,89,105
28,2024-02-02 04:00:00,25.1,0.0,25,89,105
29,2024-02-02 05:00:00,29.3,0.0,24,91,103
30,2024-02-02 06:00:00,30.1,0.0,24,91,104
31,2024-02-02 07:00:00,29.6,1.0,25,90,105
32,2024-02-02 08:00:00,32.4,5.0,27,81,109
33,2024-02-02 09:00:00,31.8,0.0,29,68,113
