,DATETIMEDATA,O3,WS,TEMP,RH,WD
0,2024-03-01 00:00:00,5.0,1,28,72,111
1,2024-03-01 01:00:00,17.0,1,28,74,108
2,2024-03-01 02:00:00,18.0,2,28,77,117
3,2024-03-01 03:00:00,19.0,1,27,78,112
4,2024-03-01 04:00:00,9.0,1,27,78,103
5,2024-03-01 05:00:00,1.0,1,27,80,98
6,2024-03-01 06:00:00,1.0,1,27,80,98
7,2024-03-01 07:00:00,0.0,1,28,76,106
8,2024-03-01 08:00:00,0.0,1,30,70,115
9,2024-03-01 09:00:00,0.0,1,30,66,127
10,2024-03-01 10:00:00,3.0,1,32,61,143
11,2024-03-01 11:00:00,1.0,1,33,54,187
12,2024-03-01 12:00:00,12.0,1,33,55,185
13,2024-03-01 13:00:00,22.0,1,33,52,187
14,2024-03-01 14:00:00,19.0,1,33,50,196
15,2024-03-01 15:00:00,0.0,1,33,51,191
16,2024-03-01 16:00:00,20.0,1,32,53,167
17,2024-03-01 17:00:00,9.0,1,31,60,172
18,2024-03-01 18:00:00,0.0,2,30,66,129
19,2024-03-01 19:00:00,1.0,1,29,69,128
20,2024-03-01 20:00:00,,1,29,69,118
21,2024-03-01 21:00:00,0.0,1,28,70,122
22,2024-03-01 22:00:00,2.0,1,28,72,111
23,2024-03-01 23:00:00,14.0,1,28,73,115
24,2024-03-02 00:00:00,7.0,1,28,74,125
25,2024-03-02 01:00:00,11.0,1,28,72,137
26,2024-03-02 02:00:00,24.0,1,28,72,125
27,2024-03-02 03:00:00,21.0,1,28,74,121
28,2024-03-02 04:00:00,17.0,1,27,76,111
29,2024-03-02 05:00:00,0.0,1,28,76,117
30,2024-03-02 06:00:00,14.0,1,27,76,107
31,2024-03-02 07:00:00,3.0,1,28,76,108
32,2024-03-02 08:00:00,0.0,1,29,73,108
33,2024-03-02 09:00:00,2.0,1,30,71,116
34,2024-03-02 10:00:00,4.0,1,31,61,122
35,2024-03-02 11:00:00,0.0,1,32,57,141
36,2024-03-02 12:00:00,2.0,1,33,55,170
37,2024-03-02 13:00:00,4.0,1,33,55,172
38,2024-03-02 14:00:00,19.0,1,32,58,163
39,2024-03-02 15:00:00,18.0,1,31,60,176
40,2024-03-02 16:00:00,0.0,1,31,61,169
41,2024-03-02 17:00:00,6.0,1,30,66,179
42,2024-03-02 18:00:00,1.0,1,29,69,155
43,2024-03-02 19:00:00,1.0,1,29,72,144
44,2024-03-02 20:00:00,0.0,1,29,72,123
45,2024-03-02 21:00:00,,1,29,72,105
46,2024-03-02 22:00:00,8.0,1,29,70,103
47,2024-03-02 23:00:00,1.0,1,29,70,109
48,2024-03-03 00:00:00,3.0,1,28,73,111
49,2024-03-03 01:00:00,17.0,1,28,75,105
50,2024-03-03 02:00:00,19.0,1,28,76,111
51,2024-03-03 03:00:00,20.0,1,28,76,112
52,2024-03-03 04:00:00,20.0,1,28,78,106
53,2024-03-03 05:00:00,29.0,1,27,79,109
54,2024-03-03 06:00:00,21.0,1,27,80,90
55,2024-03-03 07:00:00,19.0,1,28,76,94
